WEEK (starting on);;ESTIMATED NATURAL DEATHS OF PERSONS 1+ YEARS ;;;;;;;;;
;;EASTERN CAPE;FREE STATE;GAUTENG;KWAZULU NATAL;LIMPOPO;MPUMALANGA;NORTHERN CAPE;NORTH WEST;WESTERN CAPE;SOUTH AFRICA
1;29-Dec-19;1626,00;470,00;1320,00;1628,00;1161,00;814,00;273,00;586,00;784,00;8662,00
2;05-Jan-20;1314,00;440,00;1300,00;1557,00;1017,00;691,00;221,00;560,00;796,00;7895,00
3;12-Jan-20;1296,00;423,00;1195,00;1516,00;870,00;658,00;273,00;528,00;765,00;7523,00
4;19-Jan-20;1116,00;404,00;1267,00;1493,00;934,00;699,00;200,00;520,00;820,00;7454,00
5;26-Jan-20;1441,00;446,00;1303,00;1508,00;1051,00;654,00;265,00;528,00;849,00;8043,00
6;02-Feb-20;1293,00;484,00;1232,00;1541,00;993,00;696,00;238,00;546,00;796,00;7819,00
7;09-Feb-20;1178,00;460,00;1238,00;1559,00;984,00;675,00;208,00;597,00;774,00;7673,00
8;16-Feb-20;1181,00;444,00;1299,00;1441,00;939,00;651,00;221,00;552,00;741,00;7469,00
9;23-Feb-20;1224,00;439,00;1288,00;1462,00;953,00;716,00;200,00;506,00;762,00;7549,00
10;01-Mar-20;1334,00;463,00;1308,00;1511,00;1074,00;723,00;260,00;559,00;790,00;8021,00
11;08-Mar-20;1126,00;417,00;1333,00;1494,00;980,00;669,00;227,00;597,00;792,00;7634,00
12;15-Mar-20;1226,00;465,00;1309,00;1490,00;994,00;645,00;217,00;508,00;776,00;7630,00
13;22-Mar-20;1258,00;467,00;1212,00;1500,00;920,00;754,00;213,00;517,00;776,00;7616,00
14;29-Mar-20;1183,00;455,00;1308,00;1430,00;970,00;742,00;210,00;533,00;810,00;7641,00
15;05-Apr-20;1245,00;456,00;1295,00;1425,00;1009,00;739,00;213,00;556,00;790,00;7728,00
16;12-Apr-20;1248,00;430,00;1249,00;1463,00;896,00;665,00;232,00;576,00;757,00;7516,00
17;19-Apr-20;1225,00;415,00;1172,00;1312,00;932,00;655,00;168,00;519,00;801,00;7200,00
18;26-Apr-20;1186,00;471,00;1373,00;1465,00;951,00;734,00;243,00;556,00;781,00;7761,00
19;03-May-20;1275,00;458,00;1390,00;1530,00;956,00;694,00;236,00;534,00;857,00;7932,00
20;10-May-20;1267,00;495,00;1374,00;1584,00;970,00;716,00;220,00;576,00;887,00;8089,00
21;17-May-20;1387,00;456,00;1364,00;1498,00;987,00;701,00;202,00;541,00;1118,00;8254,00
22;24-May-20;1493,00;516,00;1549,00;1580,00;970,00;688,00;271,00;568,00;1191,00;8826,00
23;31-May-20;1527,00;579,00;1486,00;1634,00;970,00;744,00;246,00;603,00;1288,00;9077,00
24;07-Jun-20;1696,00;559,00;1610,00;1695,00;1099,00;723,00;269,00;588,00;1424,00;9663,00
25;14-Jun-20;1963,00;587,00;2082,00;1831,00;1147,00;837,00;313,00;754,00;1526,00;11039,00
26;21-Jun-20;2207,00;564,00;2515,00;1948,00;1118,00;829,00;261,00;742,00;1411,00;11596,00
27;28-Jun-20;2596,00;614,00;2881,00;2113,00;1126,00;845,00;270,00;725,00;1395,00;12564,00
28;05-Jul-20;2852,00;709,00;3265,00;2395,00;1166,00;975,00;270,00;825,00;1393,00;13849,00
29;12-Jul-20;2839,00;876,00;3704,00;2950,00;1330,00;1097,00;330,00;949,00;1357,00;15432,00
30;19-Jul-20;2729,00;1016,00;3386,00;3225,00;1313,00;1246,00;358,00;919,00;1224,00;15417,00
31;26-Jul-20;2331,00;1089,00;2996,00;3088,00;1365,00;1196,00;359,00;900,00;1153,00;14477,00
32;02-Aug-20;1967,00;974,00;2450,00;2817,00;1218,00;1068,00;374,00;835,00;1171,00;12875,00
33;09-Aug-20;1734,00;853,00;2122,00;2379,00;1275,00;1030,00;356,00;784,00;1009,00;11542,00
34;16-Aug-20;1763,00;821,00;1906,00;2137,00;1152,00;882,00;375,00;787,00;1102,00;10926,00
35;23-Aug-20;1495,00;754,00;1796,00;1976,00;1148,00;819,00;358,00;657,00;1034,00;10037,00
36;30-Aug-20;1549,00;648,00;1683,00;1939,00;1113,00;811,00;317,00;659,00;1037,00;9755,00
37;06-Sep-20;1408,00;586,00;1527,00;1645,00;1023,00;784,00;331,00;603,00;1004,00;8911,00
38;13-Sep-20;1325,00;549,00;1397,00;1736,00;1075,00;745,00;285,00;613,00;806,00;8531,00
39;20-Sep-20;1360,00;629,00;1423,00;1648,00;1057,00;761,00;293,00;623,00;865,00;8659,00
40;27-Sep-20;1391,00;583,00;1366,00;1627,00;944,00;664,00;301,00;592,00;965,00;8433,00
41;04-Oct-20;1423,00;563,00;1450,00;1724,00;1096,00;748,00;297,00;610,00;929,00;8841,00
42;11-Oct-20;1452,00;590,00;1482,00;1751,00;1073,00;815,00;280,00;640,00;914,00;8998,00
43;18-Oct-20;1465,00;576,00;1460,00;1620,00;1090,00;796,00;294,00;692,00;836,00;8830,00
44;25-Oct-20;1548,00;602,00;1403,00;1607,00;1050,00;812,00;269,00;615,00;804,00;8709,00
45;01-Nov-20;1647,00;558,00;1371,00;1712,00;1024,00;771,00;299,00;585,00;860,00;8826,00
46;08-Nov-20;1888,00;518,00;1463,00;1686,00;1171,00;747,00;268,00;546,00;929,00;9216,00
47;15-Nov-20;2014,00;540,00;1441,00;1569,00;1094,00;734,00;265,00;617,00;913,00;9188,00
48;22-Nov-20;2349,00;434,00;1266,00;1653,00;997,00;636,00;229,00;558,00;862,00;8985,00
49;29-Nov-20;2789,00;455,00;1392,00;1739,00;1030,00;732,00;278,00;572,00;1098,00;10084,00
50;06-Dec-20;3060,00;472,00;1474,00;2118,00;1082,00;803,00;276,00;585,00;1227,00;11097,00
51;13-Dec-20;3409,00;497,00;1512,00;2620,00;1106,00;798,00;295,00;563,00;1607,00;12406,00
52;20-Dec-20;3616,00;605,00;2087,00;3722,00;1331,00;996,00;342,00;716,00;2009,00;15423,00
53;27-Dec-20;3541,00;676,00;2729,00;4907,00;1915,00;1308,00;360,00;924,00;2297,00;18657,00
1;03-Jan-21;3581,00;830,00;3381,00;6312,00;2701,00;1657,00;343,00;1069,00;2324,00;22197,00
2;10-Jan-21;3321,00;891,00;3486,00;6547,00;3553,00;2155,00;368,00;1224,00;2123,00;23668,00
3;17-Jan-21;2688,00;932,00;3134,00;5397,00;2932,00;1987,00;396,00;1244,00;1754,00;20465,00
4;24-Jan-21;1933,00;712,00;2342,00;3370,00;2103,00;1505,00;337,00;969,00;1353,00;14624,00
5;31-Jan-21;1605,00;685,00;2074,00;2758,00;1588,00;1201,00;315,00;809,00;1212,00;12247,00
6;07-Feb-21;1558,00;640,00;1766,00;2221,00;1253,00;1016,00;316,00;738,00;1029,00;10537,00
7;14-Feb-21;1330,00;521,00;1814,00;1971,00;1278,00;995,00;342,00;741,00;937,00;9929,00
8;21-Feb-21;1342,00;569,00;1618,00;1702,00;1119,00;906,00;271,00;621,00;873,00;9020,00
9;28-Feb-21;1340,00;567,00;1579,00;1777,00;1218,00;800,00;272,00;604,00;917,00;9075,00
10;07-Mar-21;1310,00;575,00;1564,00;1768,00;1164,00;924,00;306,00;653,00;907,00;9172,00
11;14-Mar-21;1212,00;584,00;1514,00;1691,00;1015,00;795,00;275,00;583,00;804,00;8473,00
12;21-Mar-21;1212,00;534,00;1432,00;1663,00;1035,00;836,00;272,00;620,00;892,00;8495,00
13;28-Mar-21;1291,00;563,00;1558,00;1658,00;1090,00;803,00;255,00;634,00;833,00;8684,00
14;04-Apr-21;1341,00;629,00;1606,00;1736,00;1064,00;858,00;353,00;654,00;864,00;9106,00
15;11-Apr-21;1297,00;589,00;1575,00;1705,00;1053,00;788,00;332,00;764,00;922,00;9026,00
16;18-Apr-21;1280,00;702,00;1589,00;1647,00;1130,00;826,00;323,00;705,00;838,00;9040,00
17;25-Apr-21;1278,00;706,00;1644,00;1688,00;1028,00;777,00;420,00;710,00;852,00;9102,00
18;02-May-21;1341,00;769,00;1673,00;1748,00;1115,00;863,00;441,00;784,00;974,00;9708,00
19;09-May-21;1386,00;815,00;1730,00;1728,00;1111,00;909,00;507,00;828,00;982,00;9998,00
20;16-May-21;1311,00;845,00;1908,00;1726,00;1107,00;850,00;477,00;816,00;939,00;9977,00
21;23-May-21;1355,00;897,00;1939,00;1751,00;1084,00;907,00;512,00;922,00;1048,00;10416,00
22;30-May-21;1438,00;904,00;2354,00;1916,00;1233,00;1014,00;555,00;991,00;1012,00;11419,00
23;06-Jun-21;1511,00;896,00;2554,00;1907,00;1354,00;1101,00;519,00;1016,00;1107,00;11966,00
24;13-Jun-21;1756,00;820,00;3023,00;1981,00;1343,00;1091,00;484,00;985,00;1106,00;12588,00
29 Dec 2019 - 19 Jun 2021;;132072,00;47221,00;137662,00;158565,00;91883,00;67694,00;23416,00;53128,00;81266,00;792908,00
ESTIMATED EXCESS NATURAL DEATHS;;;;;;;;;;;
3 May 2020 - 19 Jun 2021;;34623,00;10195,00;30492,00;39722,00;15508,00;12430,00;5509,00;7804,00;16848,00;173132,00
